tipoTabla;tipoDatos;sizeTabla;tipoClave;numBusquedas;tiempo
closed_hash_linear;twitter_data;24821;username;10000;0.0039835
closed_hash_linear;dummy_data;24821;username;10000;0.0801795
closed_hash_linear;twitter_data;24821;user_id;10000;0.0017781
closed_hash_linear;dummy_data;24821;user_id;10000;0.0177978
closed_hash_linear;twitter_data;24821;username;15000;0.0073976
closed_hash_linear;dummy_data;24821;username;15000;0.128964
closed_hash_linear;twitter_data;24821;user_id;15000;0.0031742
closed_hash_linear;dummy_data;24821;user_id;15000;0.0263118
closed_hash_linear;twitter_data;24821;username;20000;0.0157222
closed_hash_linear;dummy_data;24821;username;20000;0.165529
closed_hash_linear;twitter_data;24821;user_id;20000;0.0057746
closed_hash_linear;dummy_data;24821;user_id;20000;0.035633
closed_hash_linear;twitter_data;24821;username;1000;0.0003316
closed_hash_linear;dummy_data;24821;username;1000;0.007851
closed_hash_linear;twitter_data;24821;user_id;1000;0.0001609
closed_hash_linear;dummy_data;24821;user_id;1000;0.0019363
closed_hash_linear;twitter_data;24821;username;5000;0.0017526
closed_hash_linear;dummy_data;24821;username;5000;0.040673
closed_hash_linear;twitter_data;24821;user_id;5000;0.0007933
closed_hash_linear;dummy_data;24821;user_id;5000;0.0090558
closed_hash_linear;twitter_data;24821;username;10000;0.0040132
closed_hash_linear;dummy_data;24821;username;10000;0.0853596
closed_hash_linear;twitter_data;24821;user_id;10000;0.0017766
closed_hash_linear;dummy_data;24821;user_id;10000;0.017894
closed_hash_linear;twitter_data;24821;username;15000;0.007369
closed_hash_linear;dummy_data;24821;username;15000;0.126216
closed_hash_linear;twitter_data;24821;user_id;15000;0.0031218
closed_hash_linear;dummy_data;24821;user_id;15000;0.0275143
closed_hash_linear;twitter_data;24821;username;20000;0.0158072
closed_hash_linear;dummy_data;24821;username;20000;0.166733
closed_hash_linear;twitter_data;24821;user_id;20000;0.0058086
closed_hash_linear;dummy_data;24821;user_id;20000;0.034994
closed_hash_linear;twitter_data;24821;username;1000;0.0003262
closed_hash_linear;dummy_data;24821;username;1000;0.0085
closed_hash_linear;twitter_data;24821;user_id;1000;0.000152
closed_hash_linear;dummy_data;24821;user_id;1000;0.001861
closed_hash_linear;twitter_data;24821;username;5000;0.0017433
closed_hash_linear;dummy_data;24821;username;5000;0.0433109
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008109
closed_hash_linear;dummy_data;24821;user_id;5000;0.0090673
closed_hash_linear;twitter_data;24821;username;10000;0.0040481
closed_hash_linear;dummy_data;24821;username;10000;0.0877046
closed_hash_linear;twitter_data;24821;user_id;10000;0.0017783
closed_hash_linear;dummy_data;24821;user_id;10000;0.0177648
closed_hash_linear;twitter_data;24821;username;15000;0.0073506
closed_hash_linear;dummy_data;24821;username;15000;0.124727
closed_hash_linear;twitter_data;24821;user_id;15000;0.0031678
closed_hash_linear;dummy_data;24821;user_id;15000;0.0267925
closed_hash_linear;twitter_data;24821;username;20000;0.0156674
closed_hash_linear;dummy_data;24821;username;20000;0.165906
closed_hash_linear;twitter_data;24821;user_id;20000;0.0057939
closed_hash_linear;dummy_data;24821;user_id;20000;0.035072
closed_hash_linear;twitter_data;24821;username;1000;0.0003258
closed_hash_linear;dummy_data;24821;username;1000;0.0085076
closed_hash_linear;twitter_data;24821;user_id;1000;0.0001533
closed_hash_linear;dummy_data;24821;user_id;1000;0.0018467
closed_hash_linear;twitter_data;24821;username;5000;0.0017533
closed_hash_linear;dummy_data;24821;username;5000;0.0414069
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008064
closed_hash_linear;dummy_data;24821;user_id;5000;0.0084977
closed_hash_linear;twitter_data;24821;username;10000;0.0040043
closed_hash_linear;dummy_data;24821;username;10000;0.0820155
closed_hash_linear;twitter_data;24821;user_id;10000;0.0018454
closed_hash_linear;dummy_data;24821;user_id;10000;0.0181748
closed_hash_linear;twitter_data;24821;username;15000;0.0074123
closed_hash_linear;dummy_data;24821;username;15000;0.126028
closed_hash_linear;twitter_data;24821;user_id;15000;0.0031725
closed_hash_linear;dummy_data;24821;user_id;15000;0.028586
closed_hash_linear;twitter_data;24821;username;20000;0.0156294
closed_hash_linear;dummy_data;24821;username;20000;0.168057
closed_hash_linear;twitter_data;24821;user_id;20000;0.0057793
closed_hash_linear;dummy_data;24821;user_id;20000;0.0357671
closed_hash_linear;twitter_data;24821;username;1000;0.0003378
closed_hash_linear;dummy_data;24821;username;1000;0.0082371
closed_hash_linear;twitter_data;24821;user_id;1000;0.0001594
closed_hash_linear;dummy_data;24821;user_id;1000;0.0018701
closed_hash_linear;twitter_data;24821;username;5000;0.0017542
closed_hash_linear;dummy_data;24821;username;5000;0.0413365
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008162
closed_hash_linear;dummy_data;24821;user_id;5000;0.0091164
closed_hash_linear;twitter_data;24821;username;10000;0.003997
closed_hash_linear;dummy_data;24821;username;10000;0.0960949
closed_hash_linear;twitter_data;24821;user_id;10000;0.0017767
closed_hash_linear;dummy_data;24821;user_id;10000;0.0181432
closed_hash_linear;twitter_data;24821;username;15000;0.0073825
closed_hash_linear;dummy_data;24821;username;15000;0.129119
closed_hash_linear;twitter_data;24821;user_id;15000;0.0031373
closed_hash_linear;dummy_data;24821;user_id;15000;0.0268483
closed_hash_linear;twitter_data;24821;username;20000;0.0167417
closed_hash_linear;dummy_data;24821;username;20000;0.166079
closed_hash_linear;twitter_data;24821;user_id;20000;0.0057816
closed_hash_linear;dummy_data;24821;user_id;20000;0.0356012
closed_hash_linear;twitter_data;24821;username;1000;0.0003471
closed_hash_linear;dummy_data;24821;username;1000;0.0086151
closed_hash_linear;twitter_data;24821;user_id;1000;0.0001527
closed_hash_linear;dummy_data;24821;user_id;1000;0.0017568
closed_hash_linear;twitter_data;24821;username;5000;0.0018407
closed_hash_linear;dummy_data;24821;username;5000;0.0437192
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008007
closed_hash_linear;dummy_data;24821;user_id;5000;0.0091645
closed_hash_linear;twitter_data;24821;username;10000;0.0052061
closed_hash_linear;dummy_data;24821;username;10000;0.0999969
closed_hash_linear;twitter_data;24821;user_id;10000;0.0017818
closed_hash_linear;dummy_data;24821;user_id;10000;0.01818
closed_hash_linear;twitter_data;24821;username;15000;0.0073676
closed_hash_linear;dummy_data;24821;username;15000;0.124443
closed_hash_linear;twitter_data;24821;user_id;15000;0.0031198
closed_hash_linear;dummy_data;24821;user_id;15000;0.0268167
closed_hash_linear;twitter_data;24821;username;20000;0.0156348
closed_hash_linear;dummy_data;24821;username;20000;0.169512
closed_hash_linear;twitter_data;24821;user_id;20000;0.0057303
closed_hash_linear;dummy_data;24821;user_id;20000;0.0356143
closed_hash_linear;twitter_data;24821;username;1000;0.0003412
closed_hash_linear;dummy_data;24821;username;1000;0.0085318
closed_hash_linear;twitter_data;24821;user_id;1000;0.0001575
closed_hash_linear;dummy_data;24821;user_id;1000;0.0017526
closed_hash_linear;twitter_data;24821;username;5000;0.0017796
closed_hash_linear;dummy_data;24821;username;5000;0.0402586
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008003
closed_hash_linear;dummy_data;24821;user_id;5000;0.0085207
closed_hash_linear;twitter_data;24821;username;10000;0.0040421
closed_hash_linear;dummy_data;24821;username;10000;0.0812997
closed_hash_linear;twitter_data;24821;user_id;10000;0.0018196
closed_hash_linear;dummy_data;24821;user_id;10000;0.0182353
closed_hash_linear;twitter_data;24821;username;15000;0.0073927
closed_hash_linear;dummy_data;24821;username;15000;0.126932
closed_hash_linear;twitter_data;24821;user_id;15000;0.0030894
closed_hash_linear;dummy_data;24821;user_id;15000;0.0260987
closed_hash_linear;twitter_data;24821;username;20000;0.0156336
closed_hash_linear;dummy_data;24821;username;20000;0.170087
closed_hash_linear;twitter_data;24821;user_id;20000;0.0058007
closed_hash_linear;dummy_data;24821;user_id;20000;0.0358896
closed_hash_linear;twitter_data;24821;username;1000;0.0003272
closed_hash_linear;dummy_data;24821;username;1000;0.0075632
closed_hash_linear;twitter_data;24821;user_id;1000;0.0001549
closed_hash_linear;dummy_data;24821;user_id;1000;0.0017527
closed_hash_linear;twitter_data;24821;username;5000;0.0017601
