tipoClave;numElementos;tiempo
username_hash;5000;0.0332194
username_hash;10000;0.109934
username_hash;15000;0.261188
username_hash;20000;0.525327
username_hash;1000;0.0018343
username_hash;5000;0.0334714
username_hash;10000;0.112782
username_hash;15000;0.267621
username_hash;20000;0.505916
username_hash;1000;0.001804
username_hash;5000;0.0332141
username_hash;10000;0.110789
username_hash;15000;0.299876
username_hash;20000;0.512498
username_hash;1000;0.0021302
username_hash;5000;0.0331306
username_hash;10000;0.113769
username_hash;15000;0.263705
username_hash;20000;0.504131
username_hash;1000;0.0018291
username_hash;5000;0.0333212
username_hash;10000;0.116483
username_hash;15000;0.263343
username_hash;20000;0.504112
username_hash;1000;0.0018271
username_hash;5000;0.0335038
username_hash;10000;0.167322
username_hash;15000;0.262976
username_hash;20000;0.507495
username_hash;1000;0.0018311
username_hash;5000;0.0332958
username_hash;10000;0.110146
username_hash;15000;0.262612
username_hash;20000;0.521921
username_hash;1000;0.0018068
username_hash;5000;0.0334002
username_hash;10000;0.110545
username_hash;15000;0.26305
username_hash;20000;0.508563
username_hash;1000;0.0018668
username_hash;5000;0.0333831
username_hash;10000;0.111317
username_hash;15000;0.263391
username_hash;20000;0.504586
username_hash;1000;0.0018139
username_hash;5000;0.0330991
username_hash;10000;0.110379
username_hash;15000;0.264105
username_hash;20000;0.506763
username_hash;1000;0.0018108
username_hash;5000;0.0333062
username_hash;10000;0.11012
username_hash;15000;0.262487
username_hash;20000;0.509272
username_hash;1000;0.0018152
username_hash;5000;0.033276
username_hash;10000;0.110647
username_hash;15000;0.266426
username_hash;20000;0.505832
username_hash;1000;0.0018259
username_hash;5000;0.033055
username_hash;10000;0.109988
username_hash;15000;0.267156
username_hash;20000;0.508134
username_hash;1000;0.0018066
username_hash;5000;0.03282
username_hash;10000;0.110308
username_hash;15000;0.261597
username_hash;20000;0.505051
username_hash;1000;0.0018201
username_hash;5000;0.0374098
username_hash;10000;0.111799
username_hash;15000;0.266095
username_hash;20000;0.51201
username_hash;1000;0.0027838
username_hash;5000;0.0332433
username_hash;10000;0.110325
username_hash;15000;0.267177
username_hash;20000;0.516692
username_hash;1000;0.0018262
username_hash;5000;0.0332351
username_hash;10000;0.109736
username_hash;15000;0.261626
username_hash;20000;0.502517
username_hash;1000;0.0018469
username_hash;5000;0.0336004
username_hash;10000;0.111261
username_hash;15000;0.266827
username_hash;20000;0.513377
username_hash;1000;0.00214
username_hash;5000;0.0333169
username_hash;10000;0.110266
username_hash;15000;0.262791
username_hash;20000;0.508902
