tipoClave;numElementos;tiempo
ID_hash;15000;0.0051889
ID_hash;20000;0.0069446
ID_hash;1000;0.0003913
ID_hash;5000;0.0018865
ID_hash;10000;0.0033714
ID_hash;15000;0.0052444
ID_hash;20000;0.0068209
ID_hash;1000;0.000382
ID_hash;5000;0.0016791
ID_hash;10000;0.0033477
ID_hash;15000;0.0051713
ID_hash;20000;0.0068402
ID_hash;1000;0.000405
ID_hash;5000;0.0017431
ID_hash;10000;0.0033683
ID_hash;15000;0.0047971
ID_hash;20000;0.0069704
ID_hash;1000;0.0003807
ID_hash;5000;0.0017476
ID_hash;10000;0.0032874
ID_hash;15000;0.0052005
ID_hash;20000;0.0072257
ID_hash;1000;0.0004102
ID_hash;5000;0.0016951
ID_hash;10000;0.0034751
ID_hash;15000;0.0051906
ID_hash;20000;0.0067317
ID_hash;1000;0.0003648
ID_hash;5000;0.001675
ID_hash;10000;0.0033994
ID_hash;15000;0.0049624
ID_hash;20000;0.0068205
ID_hash;1000;0.0004019
ID_hash;5000;0.0018281
ID_hash;10000;0.003354
ID_hash;15000;0.0050193
ID_hash;20000;0.0068348
ID_hash;1000;0.0006056
ID_hash;5000;0.0017543
ID_hash;10000;0.0033241
ID_hash;15000;0.0048038
ID_hash;20000;0.0066487
ID_hash;1000;0.0003585
ID_hash;5000;0.0016023
ID_hash;10000;0.0033452
ID_hash;15000;0.0049479
ID_hash;20000;0.0069353
ID_hash;1000;0.0003595
ID_hash;5000;0.0016879
ID_hash;10000;0.0032719
ID_hash;15000;0.0051707
ID_hash;20000;0.0069369
ID_hash;1000;0.0004527
ID_hash;5000;0.0016425
ID_hash;10000;0.0033466
ID_hash;15000;0.0051133
ID_hash;20000;0.0067363
ID_hash;1000;0.0004473
ID_hash;5000;0.0016771
ID_hash;10000;0.0034748
ID_hash;15000;0.0050304
ID_hash;20000;0.0067437
ID_hash;1000;0.0003647
ID_hash;5000;0.0018738
ID_hash;10000;0.003403
ID_hash;15000;0.0050088
ID_hash;20000;0.0067984
ID_hash;1000;0.0003732
ID_hash;5000;0.0016529
ID_hash;10000;0.0033376
ID_hash;15000;0.0050158
ID_hash;20000;0.0067529
ID_hash;1000;0.0004588
ID_hash;5000;0.0017145
ID_hash;10000;0.0033647
ID_hash;15000;0.0049088
ID_hash;20000;0.006984
ID_hash;1000;0.0004276
ID_hash;5000;0.0016303
ID_hash;10000;0.0033658
ID_hash;15000;0.0053323
ID_hash;20000;0.006797
ID_hash;1000;0.0003598
ID_hash;5000;0.0017147
ID_hash;10000;0.003318
ID_hash;15000;0.0050349
ID_hash;20000;0.0068195
ID_hash;1000;0.0004511
ID_hash;5000;0.0016991
ID_hash;10000;0.0033515
ID_hash;15000;0.0050496
ID_hash;20000;0.0068089
ID_hash;1000;0.0004511
ID_hash;5000;0.0017956
ID_hash;10000;0.0033609
ID_hash;15000;0.0050002
ID_hash;20000;0.0070296
ID_hash;1000;0.0003805
ID_hash;5000;0.0017263
ID_hash;10000;0.003405
ID_hash;15000;0.0051278
ID_hash;20000;0.0070246
